airspeed,mech_power,checm_power,effectLD,spec_power,spec_work,species
14,15.54,78.19,6.906,116,11.33,murre
15,15.37,77.37,7.477,114.5,11.18,murre
16,15.3,77.03,8.011,113.9,11.12,murre
17,15.32,77.14,8.5,114.1,11.14,murre
18,15.43,77.66,8.939,115,11.23,murre
19,15.62,78.58,9.325,116.7,11.39,murre
20,15.9,79.9,9.655,119.1,11.62,murre
21,16.25,81.59,9.926,122.1,11.92,murre
22,16.68,83.67,10.14,125.9,12.29,murre
23,17.2,86.13,10.3,130.5,12.74,murre
24,17.79,88.98,10.4,135.7,13.25,murre
25,18.47,92.21,10.46,141.8,13.85,murre
26,19.23,95.84,10.46,148.8,14.52,murre
27,20.07,99.87,10.43,156.6,15.29,murre
9,4.917,27.05,11.3,48.98,13.94,lbbg
10,4.795,26.47,12.84,47.7,13.57,lbbg
11,4.743,26.22,14.25,47.15,13.41,lbbg
12,4.752,26.26,15.53,47.24,13.44,lbbg
13,4.815,26.57,16.63,47.91,13.63,lbbg
14,4.932,27.13,17.54,49.15,13.98,lbbg
15,5.101,27.93,18.25,50.94,14.49,lbbg
16,5.321,28.98,18.76,53.28,15.16,lbbg
17,5.592,30.28,19.08,56.19,15.99,lbbg
18,5.915,31.83,19.22,59.69,16.98,lbbg
19,6.293,33.63,19.2,63.8,18.15,lbbg
20,6.725,35.7,19.04,68.57,19.51,lbbg
